T_init,alpha,runtime_sec,final_objective,final_jain_fairness
5,0.9,50.20391249656677,1687.15524032198,0.9554649066314588
5,0.95,52.948532819747925,1612.1755777367262,0.9546808891007688
5,0.98,137.79623532295227,1692.9997224484518,0.6145056881861284
5,0.99,80.76505279541016,1603.2968072492658,0.9114569294808836
10,0.9,83.04504585266113,1769.3697396018765,0.715892844954648
10,0.95,83.61093282699585,1620.0266992703753,0.9989707297465193
10,0.98,109.9263596534729,1634.6456679267574,0.8980081755297843
10,0.99,270.31751227378845,1662.0565446278783,0.5737646635359197
15,0.9,84.38590168952942,1581.5857518165722,0.8617674704482562
15,0.95,64.58155107498169,1702.1283097989697,0.9950535929464236
15,0.98,328.4095296859741,1541.3438814154783,0.7168896909992896
15,0.99,435.86050510406494,1672.1022109412972,0.7647567100502242
20,0.9,106.17757487297058,1744.4321033759234,0.7905896925241547
20,0.95,204.46264600753784,1665.3363240710198,0.6015295269460368
20,0.98,6925.529934883118,1676.0091757724906,0.9610957682154732
20,0.99,617.0722508430481,1820.97,0.5
25,0.9,134.19854855537415,1580.2441129852753,0.990589322078825
25,0.95,213.7632975578308,1573.0401763004895,0.9213501811684826
25,0.98,335.89225602149963,1678.97,0.5
25,0.99,639.9875302314758,1845.97,0.5
30,0.9,2139.078803062439,1631.0060931243625,0.9997651070022167
30,0.95,226.0249228477478,1656.7536633148359,0.893844899196763
30,0.98,512.2394995689392,1627.5591091899403,0.6314915501179558
30,0.99,923.8671486377716,1513.152305799149,0.9555780339572483
