algorithm,n,instance,run,runtime_sec,improvement
ACO,50,instance52_nreq50_nveh2_gamma44.txt,0,14.1,0.541
ACO,50,instance52_nreq50_nveh2_gamma44.txt,1,15.4,0.572
ACO,50,instance52_nreq50_nveh2_gamma44.txt,2,16.0,0.521
ACO,50,instance56_nreq50_nveh2_gamma43.txt,0,13.6,0.497
ACO,50,instance56_nreq50_nveh2_gamma43.txt,1,14.1,0.476
ACO,50,instance56_nreq50_nveh2_gamma43.txt,2,14.5,0.485
ACO,50,instance35_nreq50_nveh2_gamma45.txt,0,18.7,0.481
ACO,50,instance35_nreq50_nveh2_gamma45.txt,1,17.5,0.481
ACO,50,instance35_nreq50_nveh2_gamma45.txt,2,16.6,0.482
ACO,100,instance52_nreq100_nveh2_gamma89.txt,0,150.3,0.521
ACO,100,instance52_nreq100_nveh2_gamma89.txt,1,138.3,0.513
ACO,100,instance52_nreq100_nveh2_gamma89.txt,2,134.2,0.542
ACO,100,instance57_nreq100_nveh2_gamma91.txt,0,145.5,0.564
ACO,100,instance57_nreq100_nveh2_gamma91.txt,1,149.6,0.579
ACO,100,instance57_nreq100_nveh2_gamma91.txt,2,146.9,0.565
ACO,100,instance37_nreq100_nveh2_gamma89.txt,0,149.6,0.539
ACO,100,instance37_nreq100_nveh2_gamma89.txt,1,165.7,0.566
ACO,100,instance37_nreq100_nveh2_gamma89.txt,2,161.7,0.557
ACO,200,instance41_nreq200_nveh4_gamma196.txt,0,464.1,0.587
ACO,200,instance41_nreq200_nveh4_gamma196.txt,1,519.8,0.604
ACO,200,instance41_nreq200_nveh4_gamma196.txt,2,540.9,0.602
ACO,200,instance38_nreq200_nveh4_gamma164.txt,0,336.5,0.545
ACO,200,instance38_nreq200_nveh4_gamma164.txt,1,345.0,0.539
ACO,200,instance38_nreq200_nveh4_gamma164.txt,2,340.3,0.545
ACO,200,instance53_nreq200_nveh4_gamma167.txt,0,353.6,0.541
ACO,200,instance53_nreq200_nveh4_gamma167.txt,1,361.5,0.527
ACO,200,instance53_nreq200_nveh4_gamma167.txt,2,358.2,0.528
ACO,500,instance59_nreq500_nveh10_gamma448.txt,0,2139.3,0.558
ACO,500,instance59_nreq500_nveh10_gamma448.txt,1,1779.7,0.555
ACO,500,instance59_nreq500_nveh10_gamma448.txt,2,1619.2,0.559
ACO,500,instance43_nreq500_nveh10_gamma457.txt,0,1672.2,0.564
ACO,500,instance43_nreq500_nveh10_gamma457.txt,1,1677.7,0.557
ACO,500,instance43_nreq500_nveh10_gamma457.txt,2,1651.2,0.551
ACO,500,instance34_nreq500_nveh10_gamma458.txt,0,1669.9,0.546
ACO,500,instance34_nreq500_nveh10_gamma458.txt,1,1665.7,0.545
ACO,500,instance34_nreq500_nveh10_gamma458.txt,2,1703.9,0.543
ACO,1000,instance44_nreq1000_nveh20_gamma854.txt,0,8325.7,0.537
ACO,1000,instance44_nreq1000_nveh20_gamma854.txt,1,8371.6,0.545
